     2    0.15868E+04    0.58540E-01    0.21645E-01    0.36497E+01
     3    0.14240E+04    0.86742E-01    0.24155E-01    0.36579E+01
     4    0.13403E+04    0.92209E-01    0.23004E-01    0.34730E+01
     5    0.12855E+04    0.78488E-01    0.19628E-01    0.30822E+01
     6    0.12492E+04    0.56446E-01    0.15457E-01    0.26037E+01
     7    0.12262E+04    0.35850E-01    0.11517E-01    0.21227E+01
     8    0.12124E+04    0.21611E-01    0.83588E-02    0.16908E+01
     9    0.12055E+04    0.14056E-01    0.61609E-02    0.13331E+01
    10    0.12038E+04    0.11043E-01    0.48625E-02    0.10700E+01
    11    0.12057E+04    0.10168E-01    0.42965E-02    0.89410E+00
    12    0.12106E+04    0.99030E-02    0.42667E-02    0.79871E+00
    13    0.12173E+04    0.97514E-02    0.45967E-02    0.76416E+00
    14    0.12255E+04    0.97851E-02    0.51559E-02    0.77336E+00
    15    0.12348E+04    0.10185E-01    0.58512E-02    0.80655E+00
    16    0.12453E+04    0.10981E-01    0.66292E-02    0.84931E+00
    17    0.12564E+04    0.12072E-01    0.74584E-02    0.88757E+00
    18    0.12677E+04    0.13322E-01    0.83239E-02    0.91746E+00
    19    0.12802E+04    0.14670E-01    0.92216E-02    0.93885E+00
    20    0.12928E+04    0.16134E-01    0.10145E-01    0.95243E+00
    21    0.13056E+04    0.17778E-01    0.11095E-01    0.96013E+00
    22    0.13187E+04    0.19660E-01    0.12067E-01    0.96376E+00
    23    0.13318E+04    0.21804E-01    0.13061E-01    0.96421E+00
    24    0.13452E+04    0.24187E-01    0.14077E-01    0.96661E+00
    25    0.13587E+04    0.26798E-01    0.15111E-01    0.97023E+00
    26    0.13723E+04    0.29619E-01    0.16161E-01    0.97539E+00
    27    0.13861E+04    0.32640E-01    0.17228E-01    0.97825E+00
    28    0.13999E+04    0.35864E-01    0.18308E-01    0.97574E+00
    29    0.14139E+04    0.39287E-01    0.19403E-01    0.96641E+00
    30    0.14280E+04    0.42902E-01    0.20510E-01    0.95177E+00
    31    0.14421E+04    0.46722E-01    0.21627E-01    0.92577E+00
    32    0.14563E+04    0.50750E-01    0.22756E-01    0.88750E+00
    33    0.14707E+04    0.55001E-01    0.23894E-01    0.83478E+00
    34    0.14851E+04    0.59460E-01    0.25039E-01    0.77624E+00
    35    0.14996E+04    0.64171E-01    0.26190E-01    0.70643E+00
    36    0.15141E+04    0.69143E-01    0.27347E-01    0.62561E+00
    37    0.15288E+04    0.74387E-01    0.28508E-01    0.53313E+00
    38    0.15436E+04    0.79906E-01    0.29671E-01    0.43404E+00
    39    0.15585E+04    0.85685E-01    0.30836E-01    0.32808E+00
    40    0.15733E+04    0.91710E-01    0.32002E-01    0.21304E+00
    41    0.15883E+04    0.97980E-01    0.33166E-01    0.86846E-01
    42    0.16034E+04    0.10452E+00    0.34327E-01   -0.51245E-01
    43    0.16185E+04    0.11137E+00    0.35484E-01   -0.20161E+00
    44    0.16335E+04    0.11855E+00    0.36635E-01   -0.36380E+00
    45    0.16488E+04    0.12604E+00    0.37778E-01   -0.53750E+00
    46    0.16643E+04    0.13386E+00    0.38912E-01   -0.72486E+00
    47    0.16799E+04    0.14197E+00    0.40036E-01   -0.92651E+00
    48    0.16955E+04    0.15035E+00    0.41148E-01   -0.11359E+01
    49    0.17111E+04    0.15899E+00    0.42248E-01   -0.13458E+01
    50    0.17271E+04    0.16784E+00    0.43333E-01   -0.15579E+01
    51    0.17432E+04    0.17684E+00    0.44403E-01   -0.17829E+01
    52    0.17596E+04    0.18606E+00    0.45457E-01   -0.20296E+01
    53    0.17760E+04    0.19568E+00    0.46492E-01   -0.23027E+01
    54    0.17924E+04    0.20571E+00    0.47509E-01   -0.25926E+01
    55    0.18088E+04    0.21615E+00    0.48504E-01   -0.28881E+01
    56    0.18256E+04    0.22688E+00    0.49478E-01   -0.31860E+01
    57    0.18425E+04    0.23781E+00    0.50430E-01   -0.34895E+01
    58    0.18595E+04    0.24898E+00    0.51357E-01   -0.38045E+01
    59    0.18766E+04    0.26041E+00    0.52260E-01   -0.41357E+01
    60    0.18938E+04    0.27212E+00    0.53139E-01   -0.44814E+01
    61    0.19116E+04    0.28413E+00    0.53991E-01   -0.48380E+01
    62    0.19293E+04    0.29642E+00    0.54817E-01   -0.52027E+01
    63    0.19472E+04    0.30892E+00    0.55616E-01   -0.55756E+01
    64    0.19657E+04    0.32160E+00    0.56388E-01   -0.59578E+01
    65    0.19842E+04    0.33442E+00    0.57131E-01   -0.63509E+01
    66    0.20030E+04    0.34744E+00    0.57846E-01   -0.67580E+01
    67    0.20218E+04    0.36074E+00    0.58531E-01   -0.71823E+01
    68    0.20409E+04    0.37445E+00    0.59186E-01   -0.76258E+01
    69    0.20600E+04    0.38844E+00    0.59811E-01   -0.80816E+01
    70    0.20795E+04    0.40268E+00    0.60404E-01   -0.85444E+01
    71    0.20992E+04    0.41706E+00    0.60967E-01   -0.90108E+01
    72    0.21193E+04    0.43156E+00    0.61498E-01   -0.94823E+01
    73    0.21395E+04    0.44618E+00    0.61998E-01   -0.99610E+01
    74    0.21600E+04    0.46092E+00    0.62466E-01   -0.10448E+02
    75    0.21808E+04    0.47583E+00    0.62902E-01   -0.10942E+02
    76    0.22018E+04    0.49091E+00    0.63307E-01   -0.11446E+02
    77    0.22230E+04    0.50615E+00    0.63680E-01   -0.11959E+02
    78    0.22446E+04    0.52159E+00    0.64021E-01   -0.12482E+02
    79    0.22664E+04    0.53714E+00    0.64330E-01   -0.13012E+02
